,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,pub_year,century,is_big_book
1707,Anil's Ghost,Michael Ondaatje,3.57,eng,311,13022,1013,4/24/2001,Vintage,2001,21th,small
1708,Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,eng,320,177,28,1/17/2002,St. Martin's Griffin,2002,21th,small
1709,Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,4.2,eng,288,175,9,6/1/1993,Peter Owen Ltd,1993,20th,small
1710,Edward Lear's Book of Nonsense: With Lear's Original Illustrations,Edward Lear/Simcha Shtull,3.65,eng,46,71,8,11/1/1995,Maxima New Media,1995,20th,small
1711,A Sparrow Falls (Courtney #3),Wilbur Smith,4.19,eng,640,5019,91,1/2/2007,St. Martin's Paperbacks,2007,21th,big
1712,Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,4.33,eng,304,228,44,4/13/2004,Anchor,2004,21th,small
1713,Sparrow Hawk Red,Ben Mikaelsen,3.79,eng,185,1,0,4/1/1995,Little  Brown Books for Young Readers,1995,20th,small
1714,The Fall of a Sparrow,Robert Hellenga,3.69,eng,464,824,89,7/6/1999,Scribner,1999,20th,big
1715,The Bluebird and the Sparrow (Women of the West  #10),Janette Oke,3.83,eng,251,78,9,8/1/2006,Bethany House Publishers,2006,21th,small
1716,Journey of the Sparrows,Fran Leeper Buss/Daisy Cubias,3.69,eng,160,205,25,12/30/2002,Puffin Books,2002,21th,small
1717,Aleutian Sparrow,Karen Hesse/Evon Zerbetz/Kim McGillivray,3.78,eng,160,710,146,6/1/2005,Margaret K. McElderry Books,2005,21th,small
1718,An Episode of Sparrows,Rumer Godden,4.21,eng,247,900,126,10/31/2004,The New York Review Children's Collection,2004,21th,small
1719,Li Po and Tu Fu: Poems,Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,4.14,eng,256,389,28,4/26/1973,Penguin Classics,1973,20th,small
1720,混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,4.57,zho,735,75,0,10/1/2005,皇冠文化出版有限公司,2005,21th,big
1721,火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,4.56,zho,768,91,2,12/8/2001,皇冠文化出版有限公司,2001,21th,big
1722,Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,4.3,eng,184,169,21,10/8/1990,Oberlin College Press,1990,20th,small
1723,The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,3.88,eng,528,11,0,12/1/1986,HarperCollins Publishers,1986,20th,big
